Temp,Humd,Label
25.5,22.5,0
26.3,23.4,0
25.4,43.9,0
26.8,25.5,0
28.7,28.9,0
28.0,25.7,0
26.9,72.0,0
25.0,72.9,0
25.7,33.2,0
25.1,57.1,0
25.6,33.5,0
27.0,24.6,0
25.2,55.2,0
26.2,27.0,1
25.5,27.2,0
29.8,87.8,0
25.7,28.6,0
28.1,87.3,0
24.7,73.3,0
26.7,75.0,1
25.3,21.6,0
26.3,35.0,1
26.8,24.3,0
24.2,27.7,0
25.4,32.0,1
24.3,26.6,0
29.0,88.0,0
25.0,28.3,0
25.9,71.2,0
26.4,24.0,0
30.9,59.0,1
25.1,39.8,0
29.9,88.8,0
25.3,54.7,0
26.4,28.9,0
27.3,86.6,0
25.7,70.5,0
24.8,30.0,0
29.4,43.1,0
25.4,26.8,0
28.7,44.0,1
28.1,36.2,0
26.9,49.5,0
26.2,45.0,1
25.2,28.5,0
29.7,87.7,0
25.1,28.2,0
25.2,51.7,0
26.1,60.7,0
26.1,86.7,0
25.1,27.3,0
30.7,93.0,1
26.5,25.5,0
25.0,77.3,0
29.7,54.1,0
26.9,27.0,1
30.6,91.0,1
28.3,25.2,0
25.6,35.2,0
27.4,25.6,0
26.4,29.6,0
25.5,76.6,0
27.2,71.3,0
25.5,71.1,0
27.4,88.0,0
30.1,81.1,0
29.4,88.0,0
26.9,86.0,0
26.4,25.2,0
24.5,82.8,0
28.8,88.6,0
25.9,28.5,0
26.8,72.0,1
28.4,21.4,0
31.7,93.0,1
27.6,87.4,0
29.4,42.1,0
25.3,60.1,0
26.2,25.6,0
26.0,25.4,0
26.8,24.1,0
25.0,28.8,0
25.2,83.7,0
26.6,25.7,0
29.4,88.5,0
28.4,21.3,0
25.9,26.9,0
30.0,88.6,0
25.0,26.9,0
29.6,32.0,1
26.4,24.9,0
25.0,29.6,0
29.3,87.8,0
28.5,35.8,0
25.7,70.6,0
28.3,64.0,1
25.5,50.9,0
28.7,25.7,0
30.0,93.0,1
26.3,48.0,1
27.1,27.0,0
25.5,55.0,0
25.3,25.6,0
27.4,52.4,0
24.7,30.1,0
25.3,28.7,0
25.6,79.7,0
25.8,27.3,0
24.1,28.3,0
25.2,31.8,0
25.4,72.0,0
26.1,25.7,0
24.9,26.7,0
25.8,30.0,0
28.3,21.7,0
25.6,40.4,0
25.2,37.8,0
25.8,22.8,0
